,_id,date,type,location,value,sensorID
6219,6295e76f8b279e9bdc9818bd,2022-05-31 12:01:19.643,ambient humidity,indoor,32.900001525878906,27
6220,6295e7718b279e9bdc9818be,2022-05-31 12:01:21.395,ambient temperature,outdoor,25.299999237060547,22
6221,6295e7758b279e9bdc9818bf,2022-05-31 12:01:25.668,ambient temperature,indoor,35.5,27
6222,6295e7778b279e9bdc9818c0,2022-05-31 12:01:27.595,ground temperature,indoor,22.1875,325a0f1e64ff
6223,6295e7798b279e9bdc9818c1,2022-05-31 12:01:29.515,ground temperature,indoor,19.4375,32360c1e64ff
6224,62960384d2784b5f746477b0,2022-05-31 14:01:08.081,ground humidity,indoor,0.2131,0
6225,6296038ed2784b5f746477b1,2022-05-31 14:01:18.766,ground humidity,indoor,0.2248,1
6226,62960390d2784b5f746477b2,2022-05-31 14:01:20.560,ambient humidity,outdoor,14.100000381469727,22
6227,62960392d2784b5f746477b3,2022-05-31 14:01:22.424,ambient humidity,indoor,29.399999618530273,27
6228,62960394d2784b5f746477b4,2022-05-31 14:01:24.172,ambient temperature,outdoor,46.29999923706055,22
6229,62960395d2784b5f746477b5,2022-05-31 14:01:25.927,ambient temperature,indoor,37.599998474121094,27
6230,62960397d2784b5f746477b6,2022-05-31 14:01:27.835,ground temperature,indoor,45.0625,325a0f1e64ff
6231,62960399d2784b5f746477b7,2022-05-31 14:01:29.755,ground temperature,indoor,26.4375,32360c1e64ff
6232,62961fa358626a8403752214,2022-05-31 16:01:07.391,ground humidity,indoor,0.2111,0
6233,62961fa958626a8403752215,2022-05-31 16:01:13.081,ground humidity,indoor,0.2209,1
6234,62961faa58626a8403752216,2022-05-31 16:01:14.830,ambient humidity,outdoor,13.699999809265137,22
6235,62961faf58626a8403752217,2022-05-31 16:01:19.104,ambient humidity,indoor,29.899999618530273,27
6236,62961fb358626a8403752218,2022-05-31 16:01:23.388,ambient temperature,outdoor,47.400001525878906,22
6237,62961fb558626a8403752219,2022-05-31 16:01:25.133,ambient temperature,indoor,36.79999923706055,27
6238,62961fb758626a840375221a,2022-05-31 16:01:27.035,ground temperature,indoor,50.8125,325a0f1e64ff
6239,62961fb858626a840375221b,2022-05-31 16:01:28.955,ground temperature,indoor,30.9375,32360c1e64ff
6240,62963bc31cdc4cd083627063,2022-05-31 18:01:07.847,ground humidity,indoor,0.219,0
6241,62963bc91cdc4cd083627064,2022-05-31 18:01:13.591,ground humidity,indoor,0.2199,1
6242,62963bcb1cdc4cd083627065,2022-05-31 18:01:15.340,ambient humidity,outdoor,13.699999809265137,22
6243,62963bcf1cdc4cd083627066,2022-05-31 18:01:19.613,ambient humidity,indoor,25.5,27
6244,62963bd31cdc4cd083627067,2022-05-31 18:01:23.895,ambient temperature,outdoor,38.5,22
6245,62963bdd1cdc4cd083627068,2022-05-31 18:01:33.227,ambient temperature,indoor,36.20000076293945,27
6246,62963bdf1cdc4cd083627069,2022-05-31 18:01:35.115,ground temperature,indoor,38.625,325a0f1e64ff
6247,62963be11cdc4cd08362706a,2022-05-31 18:01:37.035,ground temperature,indoor,30.6875,32360c1e64ff
6248,629657e3ded83d71cb122432,2022-05-31 20:01:07.936,ground humidity,indoor,0.2336,0
6249,629657e9ded83d71cb122433,2022-05-31 20:01:13.735,ground humidity,indoor,0.2248,1
6250,629657f0ded83d71cb122434,2022-05-31 20:01:20.542,ambient humidity,outdoor,14.899999618530273,22
6251,629657f2ded83d71cb122435,2022-05-31 20:01:22.324,ambient humidity,indoor,27.799999237060547,27
6252,629657f6ded83d71cb122436,2022-05-31 20:01:26.612,ambient temperature,outdoor,34.70000076293945,22
6253,629657f8ded83d71cb122437,2022-05-31 20:01:28.367,ambient temperature,indoor,30.299999237060547,27
6254,629657faded83d71cb122438,2022-05-31 20:01:30.235,ground temperature,indoor,32.0625,325a0f1e64ff
6255,629657fcded83d71cb122439,2022-05-31 20:01:32.155,ground temperature,indoor,27.9375,32360c1e64ff
6256,6296740364e0bbf2940862ad,2022-05-31 22:01:07.098,ground humidity,indoor,0.2444,0
6257,6296740964e0bbf2940862ae,2022-05-31 22:01:13.250,ground humidity,indoor,0.2297,1
6258,6296741564e0bbf2940862af,2022-05-31 22:01:25.153,ambient humidity,outdoor,21.799999237060547,22
6259,6296741664e0bbf2940862b0,2022-05-31 22:01:26.898,ambient humidity,indoor,32.900001525878906,27
6260,6296742264e0bbf2940862b1,2022-05-31 22:01:38.759,ambient temperature,outdoor,25.299999237060547,22
6261,6296742764e0bbf2940862b2,2022-05-31 22:01:43.032,ambient temperature,indoor,24.700000762939453,27
6262,6296742864e0bbf2940862b3,2022-05-31 22:01:44.955,ground temperature,indoor,26.625,325a0f1e64ff
